"category - groups include ""Answers"" equivalents",query volume for meta group,definition of meta group
Navigational,150 (30.0%),Website navigation and direct access queries
Other: Adult and Web results,111 (22.2%),Queries related to other: adult and web results
News (undercounted),49 (9.8%),Queries related to news (undercounted)
"Entertainment: Celebrities,",43 (8.6%),"Entertainment content including celebrities, movies, music"
Other categories,36 (7.2%),Queries related to other categories
Answers,28 (5.6%),"Show opinions, advice, recommendations from others"
"Sports teams, leagues, athletes",24 (4.8%),"Queries related to sports teams, leagues, athletes"
Cannot judge,20 (4.0%),Queries related to cannot judge
"Reference: Health, Lottery,",13 (2.6%),"Queries related to reference: health, lottery,"
Weather,10 (2.0%),Queries related to weather
Local,6 (1.2%),Local business listings with maps and contact information
"Quickfacts: Define, Crossword,",5 (1.0%),Show quick factual answers and definitions
Entertainment: TV,2 (0.4%),"Entertainment content including celebrities, movies, music"
Image only,1 (0.2%),Queries related to image only
Entertainment: Movies,1 (0.2%),"Entertainment content including celebrities, movies, music"
Entertainment: Music,1 (0.2%),"Entertainment content including celebrities, movies, music"
